name,id,city,lat,lon,category,created,status,members,join_mode,past_event_count,last_event,last_rsvp
"South Western PA Camping , Canoeing , Kayaking & B",20475658,Pittsburgh,40.47,-79.95,Outdoors & Adventure,2016-09-26 11:52:35,active,1163,open,7,2017-06-03 10:00:00,1
5-2-1-0 Speaker Series,20442843,Pittsburgh,40.47,-79.95,Parents & Family,2016-09-19 10:38:24,active,40,approval,6,2017-09-14 17:30:00,3
"Pittsburgh DevOps, Cloud, & Continuous Delivery Meetup",20364067,Pittsburgh,40.47,-79.95,Tech,2016-08-28 20:26:07,active,136,open,1,2016-10-27 19:00:00,20
Pittsburgh Amazon Alexa Meetup,20328420,Pittsburgh,40.47,-79.95,Tech,2016-08-18 09:56:24,active,130,open,2,2016-12-13 19:30:00,25
Pittsburgh Disney Enthusiasts,20328228,Pittsburgh,40.47,-79.95,Movies & Film,2016-08-18 08:26:55,active,44,open,1,2016-08-18 20:30:00,2
Young Black Professionals in Pittsburgh Meetup,20327179,Pittsburgh,40.47,-79.95,Career & Business,2016-08-17 22:54:39,active,268,approval,41,2017-12-16 22:00:00,5
South Hills Geek Connection,20307388,Pittsburgh,40.47,-79.95,Games,2016-08-12 05:07:35,active,50,open,24,2017-06-04 11:30:00,1
Pittsburgh Epilepsy Meetup,20301685,Pittsburgh,40.47,-79.95,Support,2016-08-10 14:26:25,active,43,open,16,2017-12-16 13:00:00,1
"Pittsburgh's Runners, Racers and Chasers",20283308,Pittsburgh,40.47,-79.95,Fitness,2016-08-05 15:25:39,active,196,open,38,2017-10-08 09:00:00,5
{Beers && Debuggers},20275431,Pittsburgh,40.47,-79.95,Tech,2016-08-03 11:58:16,active,79,open,1,2016-08-16 18:00:00,21
Pittsburgh Continental Philosophy Reading Group,20266945,Pittsburgh,40.47,-79.95,Education & Learning,2016-08-01 09:14:13,active,179,open,52,2018-01-16 21:00:00,1
Pittsburgh Lawyers Meetup,20238551,Pittsburgh,40.47,-79.95,Career & Business,2016-07-29 16:15:41,active,17,open,0,,0
Love Our Children,20176111,Pittsburgh,40.47,-79.95,Movements & Politics,2016-07-12 12:28:05,active,7,open,0,,0
"Chronic Fatigue CFS / ME, Fibro, Auto Immune, Pain Group",20157122,Pittsburgh,40.47,-79.95,Support,2016-07-07 14:21:23,active,138,open,6,2017-08-27 14:00:00,2
The Pittsburgh Entrepreneur Meetup Group,54637,Pittsburgh,40.47,-79.95,Career & Business,2003-02-27 15:02:05,active,2429,open,179,2016-10-25 18:00:00,22
Predix Builders of Pittsburgh,20143507,Pittsburgh,40.47,-79.95,Tech,2016-07-04 02:07:22,active,31,open,2,2016-10-05 21:00:00,2
Grapenuts: Pittsburgh Wine Tasting Group,1435776,Pittsburgh,40.47,-79.95,Food & Drink,2009-04-16 08:45:17,active,1920,open,115,2015-02-25 19:00:00,45
